Topic,Title,article Id,Headline
This house would use foreign aid funds to research and distribute software that allows bloggers and journalists in non-democratic countries to evade censorship and conceal their online activities,Digital rights,3045,Support the use of foreign aid funds to research and distribute software that allows bloggers and journalists in non-democratic countries to evade censorship and conceal their online activities
This house would use foreign aid funds to research and distribute software that allows bloggers and journalists in non-democratic countries to evade censorship and conceal their online activities,Internet censorship circumvention,3122,Support the use of foreign aid funds to research and distribute software that allows bloggers and journalists in non-democratic countries to evade censorship and conceal their online activities
This house would use foreign aid funds to research and distribute software that allows bloggers and journalists in non-democratic countries to evade censorship and conceal their online activities,Internet activism,3043,Support the use of foreign aid funds to research and distribute software that allows bloggers and journalists in non-democratic countries to evade censorship and conceal their online activities
This house would only teach abstinence for sex education in schools,Harm reduction,3156,one should only teach abstinence for sex education in schools
This house would only teach abstinence for sex education in schools,Birth control,3146,one should only teach abstinence for sex education in schools
This house would only teach abstinence for sex education in schools,Teenage pregnancy,3144,one should only teach abstinence for sex education in schools
This house would only teach abstinence for sex education in schools,Sex education in the United States,3131,one should only teach abstinence for sex education in schools
This house would only teach abstinence for sex education in schools,Safe sex,3145,one should only teach abstinence for sex education in schools
This house would only teach abstinence for sex education in schools,Sexual abstinence,3150,one should only teach abstinence for sex education in schools
This house would only teach abstinence for sex education in schools,Sex education,3130,one should only teach abstinence for sex education in schools
This house would only teach abstinence for sex education in schools,Condom,3155,one should only teach abstinence for sex education in schools
This house would only teach abstinence for sex education in schools,Abstinence-only sex education,3132,one should only teach abstinence for sex education in schools
This house would only teach abstinence for sex education in schools,"Abstinence, be faithful, use a condom",3134,one should only teach abstinence for sex education in schools
This house would only teach abstinence for sex education in schools,Adolescent sexuality,3183,one should only teach abstinence for sex education in schools
This house would only teach abstinence for sex education in schools,Adolescent sexuality in the United States,3133,one should only teach abstinence for sex education in schools
This house would remove United States military bases from Japan,Security Treaty Between the United States and Japan,3207,United States military bases from Japan should be removed
This house would remove United States military bases from Japan,"United States Army, Japan",3141,United States military bases from Japan should be removed
This house would remove United States military bases from Japan,Omoiyari Yosan,3208,United States military bases from Japan should be removed
This house would remove United States military bases from Japan,Okinawa Prefecture,3210,United States military bases from Japan should be removed
This house would remove United States military bases from Japan,Treaty of Mutual Cooperation and Security between the United States and Japan,3140,United States military bases from Japan should be removed
This house would remove United States military bases from Japan,United States Forces Japan,3142,United States military bases from Japan should be removed
This house would remove United States military bases from Japan,History of the Ryukyu Islands,3223,United States military bases from Japan should be removed
This house believes that male infant circumcision is tantamount to child abuse,Ethics of circumcision,3167,male infant circumcision is tantamount to child abuse
This house believes that male infant circumcision is tantamount to child abuse,Human penis,3205,male infant circumcision is tantamount to child abuse
This house believes that male infant circumcision is tantamount to child abuse,Marilyn Milos,3242,male infant circumcision is tantamount to child abuse
This house believes that male infant circumcision is tantamount to child abuse,Edgar Schoen,3202,male infant circumcision is tantamount to child abuse
This house believes that male infant circumcision is tantamount to child abuse,Medical analysis of circumcision,3244,male infant circumcision is tantamount to child abuse
This house believes that male infant circumcision is tantamount to child abuse,Intact America,3227,male infant circumcision is tantamount to child abuse
This house believes that male infant circumcision is tantamount to child abuse,Sexual effects of circumcision,3243,male infant circumcision is tantamount to child abuse
This house believes that male infant circumcision is tantamount to child abuse,Foreskin,3204,male infant circumcision is tantamount to child abuse
This house believes that male infant circumcision is tantamount to child abuse,Religious male circumcision,3245,male infant circumcision is tantamount to child abuse
This house believes that male infant circumcision is tantamount to child abuse,Brit milah,3201,male infant circumcision is tantamount to child abuse
This house believes that male infant circumcision is tantamount to child abuse,Circumcision and law,3165,male infant circumcision is tantamount to child abuse
This house believes that male infant circumcision is tantamount to child abuse,Circumcision controversies,3166,male infant circumcision is tantamount to child abuse
This house believes that male infant circumcision is tantamount to child abuse,Circumcision,3164,male infant circumcision is tantamount to child abuse
This house believes that male infant circumcision is tantamount to child abuse,History of male circumcision,3168,male infant circumcision is tantamount to child abuse
This house would ban all unsustainable logging,Center for International Forestry Research,3262,all unsustainable logging would be banned
This house would ban all unsustainable logging,Deforestation in Ethiopia,3229,all unsustainable logging would be banned
This house would ban all unsustainable logging,Deforestation in Brazil,3226,all unsustainable logging would be banned
This house would ban all unsustainable logging,Deforestation in Nigeria,3230,all unsustainable logging would be banned
This house would ban all unsustainable logging,Deforestation in Malaysia,3235,all unsustainable logging would be banned
This house would ban all unsustainable logging,Deforestation by region,3234,all unsustainable logging would be banned
This house would ban all unsustainable logging,Overexploitation,3232,all unsustainable logging would be banned
This house would ban all unsustainable logging,Forest Day,3228,all unsustainable logging would be banned
This house would ban all unsustainable logging,Rainforest,3261,all unsustainable logging would be banned
This house would ban all unsustainable logging,Reforestation,3175,all unsustainable logging would be banned
This house would ban all unsustainable logging,Deforestation,3173,all unsustainable logging would be banned
This house would ban all unsustainable logging,Tropical rainforest,3176,all unsustainable logging would be banned
This house believes that open primaries are the most effective method of selecting candidates for elections,California Democratic Party v. Jones,1322,open primaries are the most effective method of selecting candidates for elections
This house believes that open primaries are the most effective method of selecting candidates for elections,Tactical voting,1504,open primaries are the most effective method of selecting candidates for elections
This house believes that open primaries are the most effective method of selecting candidates for elections,Open primaries in the United States,2115,open primaries are the most effective method of selecting candidates for elections
This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,Catholicism and sexuality,718,the Catholic Church is justified in forbidding the use of barrier methods of contraception
This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,Humanae Vitae,791,the Catholic Church is justified in forbidding the use of barrier methods of contraception
This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,Christian views on contraception,720,the Catholic Church is justified in forbidding the use of barrier methods of contraception
This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,History of condoms,726,the Catholic Church is justified in forbidding the use of barrier methods of contraception
This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,Birth control,708,the Catholic Church is justified in forbidding the use of barrier methods of contraception
This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,Sexually transmitted disease,710,the Catholic Church is justified in forbidding the use of barrier methods of contraception
This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,Catholic Church and AIDS,717,the Catholic Church is justified in forbidding the use of barrier methods of contraception
This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,Pontifical Commission on Birth Control,755,the Catholic Church is justified in forbidding the use of barrier methods of contraception
This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,Family planning,716,the Catholic Church is justified in forbidding the use of barrier methods of contraception
This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,Catholic Church and women,782,the Catholic Church is justified in forbidding the use of barrier methods of contraception
This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,Natural family planning,722,the Catholic Church is justified in forbidding the use of barrier methods of contraception
This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,Safe sex,709,the Catholic Church is justified in forbidding the use of barrier methods of contraception
This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,Pope Benedict XVI,754,the Catholic Church is justified in forbidding the use of barrier methods of contraception
This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,Barrier contraception,706,the Catholic Church is justified in forbidding the use of barrier methods of contraception
This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,Criticism of the Catholic Church,792,the Catholic Church is justified in forbidding the use of barrier methods of contraception
This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,Condom,707,the Catholic Church is justified in forbidding the use of barrier methods of contraception
This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,Religious views on birth control,781,the Catholic Church is justified in forbidding the use of barrier methods of contraception
This house supports raising the school leaving age to 18,Raising of school leaving age,653,More supports for raising the school leaving age to 18
This house supports raising the school leaving age to 18,Anti-schooling activism,657,More supports for raising the school leaving age to 18
This house supports raising the school leaving age to 18,Education,731,More supports for raising the school leaving age to 18
This house believes that the leaking of military documents by Anat Kamm was justified,Freedom of the press,931,the leaking of military documents by Anat Kamm was justified
This house believes that the leaking of military documents by Anat Kamm was justified,Censorship,928,the leaking of military documents by Anat Kamm was justified
This house believes that the leaking of military documents by Anat Kamm was justified,Information wants to be free,962,the leaking of military documents by Anat Kamm was justified
This house believes that the leaking of military documents by Anat Kamm was justified,Freedom of speech,927,the leaking of military documents by Anat Kamm was justified
This house believes that the leaking of military documents by Anat Kamm was justified,Espionage Act of 1917,1105,the leaking of military documents by Anat Kamm was justified
This house believes that the leaking of military documents by Anat Kamm was justified,ARTICLE 19,961,the leaking of military documents by Anat Kamm was justified
This house believes that the leaking of military documents by Anat Kamm was justified,National security,934,the leaking of military documents by Anat Kamm was justified
This house believes that the leaking of military documents by Anat Kamm was justified,Classified information,933,the leaking of military documents by Anat Kamm was justified
This house believes that the leaking of military documents by Anat Kamm was justified,Afghan War documents leak,964,the leaking of military documents by Anat Kamm was justified
This house believes that the leaking of military documents by Anat Kamm was justified,Iraq War documents leak,963,the leaking of military documents by Anat Kamm was justified
This house believes that the leaking of military documents by Anat Kamm was justified,Access to Information Act,1110,the leaking of military documents by Anat Kamm was justified
This house believes that the leaking of military documents by Anat Kamm was justified,Israeli Military Censor,967,the leaking of military documents by Anat Kamm was justified
This house believes that the leaking of military documents by Anat Kamm was justified,WikiLeaks,965,the leaking of military documents by Anat Kamm was justified
This house believes that the leaking of military documents by Anat Kamm was justified,Freedom of information,930,the leaking of military documents by Anat Kamm was justified
This house believes that states should not subsidize the growing of tobacco,Smoking,941,states should not subsidize the growing of tobacco
This house believes that states should not subsidize the growing of tobacco,Subsidy,935,states should not subsidize the growing of tobacco
This house believes that states should not subsidize the growing of tobacco,Agricultural policy of the United States,982,states should not subsidize the growing of tobacco
This house believes that states should not subsidize the growing of tobacco,Agricultural subsidy,981,states should not subsidize the growing of tobacco
This house believes that states should not subsidize the growing of tobacco,Cultivation of tobacco,942,states should not subsidize the growing of tobacco
This house believes that states should not subsidize the growing of tobacco,History of smoking,991,states should not subsidize the growing of tobacco
This house believes that states should not subsidize the growing of tobacco,Women and smoking,998,states should not subsidize the growing of tobacco
This house believes that states should not subsidize the growing of tobacco,Tobacco,936,states should not subsidize the growing of tobacco
This house believes that states should not subsidize the growing of tobacco,Health effects of tobacco,999,states should not subsidize the growing of tobacco
This house believes that states should not subsidize the growing of tobacco,Tobacco industry,943,states should not subsidize the growing of tobacco
This house believes that states should not subsidize the growing of tobacco,Tobacco industry in Argentina,1182,states should not subsidize the growing of tobacco
This house believes that states should not subsidize the growing of tobacco,Tobacco smoking,937,states should not subsidize the growing of tobacco
This house believes that states should not subsidize the growing of tobacco,Farm Security and Rural Investment Act of 2002,984,states should not subsidize the growing of tobacco
This house believes that it is sometimes right for the government to restrict freedom of speech,Freedom of the press,894,it is sometimes right for the government to restrict freedom of speech
This house believes that it is sometimes right for the government to restrict freedom of speech,Censorship in the United States,888,it is sometimes right for the government to restrict freedom of speech
This house believes that it is sometimes right for the government to restrict freedom of speech,Index on Censorship,972,it is sometimes right for the government to restrict freedom of speech
This house believes that it is sometimes right for the government to restrict freedom of speech,Human rights,882,it is sometimes right for the government to restrict freedom of speech
This house believes that it is sometimes right for the government to restrict freedom of speech,Hate speech,885,it is sometimes right for the government to restrict freedom of speech
This house believes that it is sometimes right for the government to restrict freedom of speech,Freedom of expression in India,1124,it is sometimes right for the government to restrict freedom of speech
This house believes that it is sometimes right for the government to restrict freedom of speech,Schenck v. United States,970,it is sometimes right for the government to restrict freedom of speech
This house believes that it is sometimes right for the government to restrict freedom of speech,Censorship,896,it is sometimes right for the government to restrict freedom of speech
This house believes that it is sometimes right for the government to restrict freedom of speech,Canadian Human Rights Commission free speech controversy,1123,it is sometimes right for the government to restrict freedom of speech
This house believes that it is sometimes right for the government to restrict freedom of speech,Freedom of speech by country,881,it is sometimes right for the government to restrict freedom of speech
This house believes that it is sometimes right for the government to restrict freedom of speech,Freedom of speech,880,it is sometimes right for the government to restrict freedom of speech
This house believes that it is sometimes right for the government to restrict freedom of speech,First Amendment to the United States Constitution,887,it is sometimes right for the government to restrict freedom of speech
This house believes that it is sometimes right for the government to restrict freedom of speech,Universal Declaration of Human Rights,893,it is sometimes right for the government to restrict freedom of speech
This house believes that it is sometimes right for the government to restrict freedom of speech,Freedom of speech in Canada,1121,it is sometimes right for the government to restrict freedom of speech
This house believes that it is sometimes right for the government to restrict freedom of speech,Censorship in France,1125,it is sometimes right for the government to restrict freedom of speech
This house believes that it is sometimes right for the government to restrict freedom of speech,Censorship in Canada,1122,it is sometimes right for the government to restrict freedom of speech
This house believes that it is sometimes right for the government to restrict freedom of speech,Freedom of thought,974,it is sometimes right for the government to restrict freedom of speech
This house believes that it is sometimes right for the government to restrict freedom of speech,Fairness Doctrine,1081,it is sometimes right for the government to restrict freedom of speech
This house believes that it is sometimes right for the government to restrict freedom of speech,Freedom of speech in the United States,1083,it is sometimes right for the government to restrict freedom of speech
This house believes that it is sometimes right for the government to restrict freedom of speech,Freedom of information,1128,it is sometimes right for the government to restrict freedom of speech
This house believes that it is sometimes right for the government to restrict freedom of speech,United States Bill of Rights,891,it is sometimes right for the government to restrict freedom of speech
This house believes that it is sometimes right for the government to restrict freedom of speech,European Convention on Human Rights,892,it is sometimes right for the government to restrict freedom of speech
This house would pass the American Jobs Act,American Recovery and Reinvestment Act of 2009,1605,the American Jobs Act should be passed
This house would pass the American Jobs Act,Unemployment,1604,the American Jobs Act should be passed
This house would pass the American Jobs Act,American Jobs Act,1529,the American Jobs Act should be passed
This house would fund education using a voucher scheme,Michelle Rhee,1592,education using a voucher scheme should be funded
This house would fund education using a voucher scheme,Free market,1579,education using a voucher scheme should be funded
This house would fund education using a voucher scheme,Zelman v. Simmons-Harris,1538,education using a voucher scheme should be funded
This house would fund education using a voucher scheme,"Comparison of United States presidential candidates, 2008",1587,education using a voucher scheme should be funded
This house would fund education using a voucher scheme,Educational inequality,2118,education using a voucher scheme should be funded
This house would fund education using a voucher scheme,Economic policy of Barack Obama,1588,education using a voucher scheme should be funded
This house would fund education using a voucher scheme,The Foundation for Educational Choice,1601,education using a voucher scheme should be funded
This house would fund education using a voucher scheme,School choice,1539,education using a voucher scheme should be funded
This house would fund education using a voucher scheme,Stanley plan,1586,education using a voucher scheme should be funded
This house would fund education using a voucher scheme,Marketization,1580,education using a voucher scheme should be funded
This house would fund education using a voucher scheme,Americans for Limited Government,1590,education using a voucher scheme should be funded
This house would fund education using a voucher scheme,Howard Rich,1591,education using a voucher scheme should be funded
This house would fund education using a voucher scheme,School voucher,1537,education using a voucher scheme should be funded
This house would fund education using a voucher scheme,Political positions of Ron Paul,1584,education using a voucher scheme should be funded
This house believes all nations have a right to nuclear weapons,Nuclear peace,1820,All nations have a right to nuclear weapons
This house believes all nations have a right to nuclear weapons,Kenneth Waltz,2080,All nations have a right to nuclear weapons
This house believes all nations have a right to nuclear weapons,International Atomic Energy Agency,2012,All nations have a right to nuclear weapons
This house believes all nations have a right to nuclear weapons,Salted bomb,2007,All nations have a right to nuclear weapons
This house believes all nations have a right to nuclear weapons,Nuclear holocaust,1987,All nations have a right to nuclear weapons
This house believes all nations have a right to nuclear weapons,Iran and weapons of mass destruction,1822,All nations have a right to nuclear weapons
This house believes all nations have a right to nuclear weapons,Nuclear weapons debate,1826,All nations have a right to nuclear weapons
This house believes all nations have a right to nuclear weapons,Nuclear weapon,1815,All nations have a right to nuclear weapons
This house believes all nations have a right to nuclear weapons,Treaty on the Non-Proliferation of Nuclear Weapons,1819,All nations have a right to nuclear weapons
This house believes all nations have a right to nuclear weapons,Nuclear proliferation,1818,All nations have a right to nuclear weapons
This house believes all nations have a right to nuclear weapons,Nuclear disarmament,1827,All nations have a right to nuclear weapons
This house believes all nations have a right to nuclear weapons,Stability-instability paradox,2086,All nations have a right to nuclear weapons
This house believes all nations have a right to nuclear weapons,History of nuclear weapons,2019,All nations have a right to nuclear weapons
This house believes all nations have a right to nuclear weapons,Anti-nuclear movement,1832,All nations have a right to nuclear weapons
This house believes all nations have a right to nuclear weapons,Nuclear warfare,1817,All nations have a right to nuclear weapons
This house believes all nations have a right to nuclear weapons,Japan's non-nuclear weapons policy,2031,All nations have a right to nuclear weapons
This house believes all nations have a right to nuclear weapons,Mutual assured destruction,1821,All nations have a right to nuclear weapons
This house believes all nations have a right to nuclear weapons,Deterrence theory,2008,All nations have a right to nuclear weapons
This house believes all nations have a right to nuclear weapons,India and weapons of mass destruction,2084,All nations have a right to nuclear weapons
This house believes all nations have a right to nuclear weapons,UK Trident programme,2083,All nations have a right to nuclear weapons
This house believes that Israel's 2008-2009 military operations against Gaza were justified,Operation Hot Winter,2730,Israel's 2008-2009 military operations against Gaza were justified
This house believes that Israel's 2008-2009 military operations against Gaza were justified,Gaza War,2717,Israel's 2008-2009 military operations against Gaza were justified
This house believes that Israel's 2008-2009 military operations against Gaza were justified,International reaction to the Gaza War,2718,Israel's 2008-2009 military operations against Gaza were justified
This house believes that Israel's 2008-2009 military operations against Gaza were justified,Palestinian rocket attacks on Israel,2719,Israel's 2008-2009 military operations against Gaza were justified
This house believes that Israel's 2008-2009 military operations against Gaza were justified,International Law and the Gaza War,2711,Israel's 2008-2009 military operations against Gaza were justified
This house believes that Israel's 2008-2009 military operations against Gaza were justified,United Nations Fact Finding Mission on the Gaza Conflict,2712,Israel's 2008-2009 military operations against Gaza were justified
This house would build high rises for housing,Tower block,2723,We should build high rises for housing
This house would build high rises for housing,Single-family detached home,2731,We should build high rises for housing
This house would build high rises for housing,Council house,2734,We should build high rises for housing
This house would build high rises for housing,Apartment,2722,We should build high rises for housing
This house would build high rises for housing,Compact City,2735,We should build high rises for housing
This house would build high rises for housing,Smart growth,2736,We should build high rises for housing
This house would build high rises for housing,Urban sprawl,2737,We should build high rises for housing
This house would criminalize blasphemy,International reaction to Fitna,2773,blasphemy should be criminalized
This house would criminalize blasphemy,Blasphemy law,2771,blasphemy should be criminalized
This house would criminalize blasphemy,Blasphemy law in the United States,2769,blasphemy should be criminalized
This house would criminalize blasphemy,Defamation of religion and the United Nations,2772,blasphemy should be criminalized
This house would criminalize blasphemy,Blasphemy law in the Republic of Ireland,2764,blasphemy should be criminalized
This house would criminalize blasphemy,International reactions to the Jyllands-Posten Muhammad cartoons controversy,2767,blasphemy should be criminalized
This house would criminalize blasphemy,Opinions on the Jyllands-Posten Muhammad cartoons controversy,2766,blasphemy should be criminalized
This house would criminalize blasphemy,Blasphemy law in the United Kingdom,2768,blasphemy should be criminalized
This house would criminalize blasphemy,Blasphemy,2763,blasphemy should be criminalized
This house believes that Holocaust denial should be a criminal offence,Laws against Holocaust denial,2883,Holocaust denial should be a criminal offence
This house believes that Holocaust denial should be a criminal offence,Belgian Holocaust denial law,2929,Holocaust denial should be a criminal offence
This house believes that Holocaust denial should be a criminal offence,Irving trial,2901,Holocaust denial should be a criminal offence
This house believes that Holocaust denial should be a criminal offence,Holocaust denial,2881,Holocaust denial should be a criminal offence
This house believes that Holocaust denial should be a criminal offence,Criticism of Holocaust denial,2882,Holocaust denial should be a criminal offence
This house supports direct election of city mayors,"English mayoral referendums, 2012",2926,Everyone supports direct election of city mayors
This house supports direct election of city mayors,Directly elected mayors in the United Kingdom,2957,Everyone supports direct election of city mayors
This house supports direct election of city mayors,Single-member district,2935,Everyone supports direct election of city mayors
This house would disband ASEAN,Association of Southeast Asian Nations,3101,ASEAN should be disband 
This house would disband ASEAN,ASEAN Free Trade Area,3129,ASEAN should be disband 
This house would prohibit burning the stars and stripes,Street v. New York,3169,burning the stars and stripes should be prohibited
This house would prohibit burning the stars and stripes,Draft-card burning,3179,burning the stars and stripes should be prohibited
This house would prohibit burning the stars and stripes,Flag Desecration Amendment,3147,burning the stars and stripes should be prohibited
This house would prohibit burning the stars and stripes,Texas v. Johnson,3149,burning the stars and stripes should be prohibited
This house would prohibit burning the stars and stripes,Freedom of speech in the United States,3180,burning the stars and stripes should be prohibited
This house would prohibit burning the stars and stripes,Symbolic speech,3178,burning the stars and stripes should be prohibited
This house would prohibit burning the stars and stripes,Timeline of the flag of the United States,3177,burning the stars and stripes should be prohibited
This house would implement playoffs in collegiate level American football,BCS controversies,3172,University would implement playoffs in collegiate level American football
This house would implement playoffs in collegiate level American football,College football playoff debate,3171,University would implement playoffs in collegiate level American football
This house would implement playoffs in collegiate level American football,BCS National Championship Game,3225,University would implement playoffs in collegiate level American football
This house would implement playoffs in collegiate level American football,Bowl Championship Series,3224,University would implement playoffs in collegiate level American football
This house believes social deprivation causes crime,Control theory (sociology),3287,social deprivation causes crime
This house believes social deprivation causes crime,Deviance (sociology),3288,social deprivation causes crime
This house believes social deprivation causes crime,Juvenile delinquency in the United States,3264,social deprivation causes crime
This house believes social deprivation causes crime,Relative deprivation,3295,social deprivation causes crime
This house believes social deprivation causes crime,Race and crime in the United States,3291,social deprivation causes crime
This house believes social deprivation causes crime,Organized crime,3283,social deprivation causes crime
This house believes social deprivation causes crime,Criminology,3281,social deprivation causes crime
This house believes social deprivation causes crime,Sociological theory,3292,social deprivation causes crime
This house believes social deprivation causes crime,Juvenile delinquency,3285,social deprivation causes crime
This house believes social deprivation causes crime,Marxist criminology,3184,social deprivation causes crime
This house believes social deprivation causes crime,Right Realism,3290,social deprivation causes crime
This house believes social deprivation causes crime,Social control theory,3286,social deprivation causes crime
This house believes social deprivation causes crime,Strain theory (sociology),3282,social deprivation causes crime
This house believes social deprivation causes crime,Social disorganization theory,3284,social deprivation causes crime
This house believes social deprivation causes crime,Violence,3293,social deprivation causes crime
This house would enforce term limits on the legislative branch of government,Term limits in the United States,3163,term limits on the legislative branch of government should be enforced
This house would enforce term limits on the legislative branch of government,Howard Rich,3127,term limits on the legislative branch of government should be enforced
This house would enforce term limits on the legislative branch of government,Term limits in Oregon,3128,term limits on the legislative branch of government should be enforced
